Lambda,Policy,Total Latency (s),Total Latency std (s),Avg Inference Time (s),Inference Time std (s),Avg Device Queue Length,Avg Cloud Queue Length
1.9000000000000001,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.15512984903066704,0.07332057826805535,0.1306700588792491,0.04671366940772471,0.0,0.04655461909364539
1.9000000000000001,Round Robin 2x Device,0.1282325031825433,0.024152754578946344,0.12699210594101318,0.02226561416623164,0.0,0.0
1.9000000000000001,Round Robin 2x Cloud,0.13253763784220116,0.04843571067944367,0.13084436939698735,0.04685081225916597,0.0,0.0
1.9000000000000001,Round Robin (Device/Cloud),0.13033597001821276,0.03829713804847371,0.12887149954918328,0.03669975868690262,0.0011969658875699103,0.0015903785726801738
1.9000000000000001,Stateless Threshold,0.1357672410351864,0.047559313601037635,0.1263658597461159,0.03557289196432003,0.009665894500895457,0.00822786824173411
1.9000000000000001,HERO,0.12777292960570025,0.034106524781658036,0.12656635376457614,0.03280883600873812,0.0014394218793268203,0.0008570686594097386
2.0,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.14948518097419516,0.05503958542977985,0.12699264562348037,0.02228823184799426,0.045063483264333126,0.0
2.0,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.15687542002275837,0.07516120004061563,0.13066933408731138,0.04671449814076882,0.0,0.05250354150443648
2.0,Round Robin 2x Device,0.1283530356900037,0.024345666297113894,0.12698117140210335,0.022259080932214632,0.0,0.0
2.0,Round Robin 2x Cloud,0.1327148549844667,0.04860502320432318,0.13084368209457875,0.04684963482178688,0.0,0.0
2.0,Round Robin (Device/Cloud),0.1304813489766241,0.03847978223348846,0.12886154697669497,0.036709700850040924,0.001392884668557385,0.0018523666040569126
2.0,Stateless Threshold,0.13626552779826775,0.0481545815630468,0.12634141089164805,0.03557052444179032,0.010784138944969598,0.009098695512922679
2.0,HERO,0.12789916752530656,0.034356106354099636,0.12656292795965945,0.03291972299853997,0.0016661422276038076,0.0010109961198510923
2.1,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.15100962701824255,0.05689572966622722,0.12698699014693834,0.0222830537208604,0.05053546931111681,0.0
2.1,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.1586842519896656,0.07705676178441204,0.13066909443894356,0.04671397036040725,0.0,0.058934390805919945
2.1,Round Robin 2x Device,0.12848709517806256,0.024570156240222154,0.12697551960758224,0.022272949373151326,0.0,0.0
2.1,Round Robin 2x Cloud,0.13290052820371598,0.04878196788332966,0.1308434217903829,0.04684997708253818,0.0,0.0
2.1,Round Robin (Device/Cloud),0.130641361128779,0.03864811831265935,0.1288613628891649,0.036697285028897034,0.0016040190470285709,0.0021404931850830477
2.1,Stateless Threshold,0.13682614608891616,0.04873888500536815,0.1263464220138705,0.03553168646078344,0.01197128710223515,0.010074497713362312
2.1,HERO,0.12808774443485535,0.03453448290669212,0.126618635660437,0.03296321451811856,0.001923636521531886,0.0011668705008465651
2.2,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.152617568362954,0.05883745871767303,0.1270026901788702,0.02226962367509787,0.056450956214739945,0.0
2.2,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.1605646929791142,0.07902636476031928,0.1306699119197887,0.04671403318050633,0.0,0.06588316980963366
2.2,Round Robin 2x Device,0.12864982574194606,0.024787622183179214,0.1269912196395141,0.02227407110504742,0.0,0.0
2.2,Round Robin 2x Cloud,0.1330952396852433,0.048968612774422035,0.1308443382441544,0.04685067937127531,0.0,0.0
2.2,Round Robin (Device/Cloud),0.1308161266110839,0.038829777471182325,0.12886746306517288,0.036695033706405866,0.0018384758999529988,0.0024560569128156988
2.2,Stateless Threshold,0.1374409777417108,0.04953438505986967,0.12638460730736645,0.03559021980087184,0.013207704464334934,0.0111587127235884
